人物故事（整理版 共35条）

朱熹 | 理学大师 | 在岳麓书院讲学 | 思想传播
张栻 | 山长 | 主持书院发展 | 教育传承
王夫之 | 思想家 | 湖湘学派集大成者 | 理论建构
曾国藩 | 政治家 | 湖湘文化代表，湘军领袖 | 经世致用
周敦颐 | 理学开创者 | 奠定学脉，《爱莲说》作者 | 学术源头
程颢 | 理学宗师 | 洛学开创，思想传播 | 温润教化
程颐 | 理学宗师 | 体系构建，严谨治学 | 格物致知
胡安国 | 经学家 | 湖湘学派奠基 | 学术开拓
胡宏 | 思想家 | 理学深化发展 | 思想深化
吕祖谦 | 学者 | 讲学交流，理学传播 | 学术交流
陆九渊 | 心学家 | 思想争鸣，心即理 | 思辨创新
王阳明 | 心学大师 | 知行合一 | 实践哲学
罗洪先 | 学者 | 理学传播与坚守 | 坚守传承
左宗棠 | 军政家 | 湖湘代表，收复新疆 | 实干担当
胡林翼 | 政治家 | 湘军核心将领 | 治理才能
彭玉麟 | 将领 | 水师建设，忠诚坚毅 | 忠诚报国
谭嗣同 | 维新者 | 思想激进，戊戌六君子 | 牺牲精神
魏源 | 思想家 | 开眼看世界，师夷长技 | 进取开放
黄兴 | 革命家 | 辛亥力量，革命实践 | 革命奋斗
蔡锷 | 将领 | 护国运动领袖 | 正义护国
宋教仁 | 政治家 | 宪政探索先驱 | 理想宪政
陈天华 | 思想者 | 民族觉醒先驱 | 激昂觉醒
杨昌济 | 教育家 | 启迪青年，新民学会 | 深远启迪
何叔衡 | 教育者 | 革命实践先驱 | 坚定实践
李达 | 哲学家 | 理论建设，中共一大代表 | 深刻理论
成仿吾 | 校长 | 高校发展建设者 | 教育建设
周谷城 | 历史学家 | 学术研究严谨 | 严谨学术
何长工 | 教育推动者 | 教育实践，务实办学 | 务实教育
熊十力 | 哲学家 | 新儒学建构 | 深邃哲学
冯友兰 | 哲学家 | 中国哲学史体系 | 现代体系
钱基博 | 国学家 | 传统文化深厚 | 深厚国学
金岳霖 | 逻辑学家 | 理性体系建构 | 逻辑精密
梁漱溟 | 思想家 | 文化反思，乡村建设 | 深刻反思
胡庶华 | 校长 | 西迁办学坚守者 | 坚守文脉
