岳麓绿 | 学术传承 | 岳麓书院千年古木 | 书院、学子 | 平静 | 古代 | 学术
湖湘红 | 革命精神 | 湖南革命传统 | 湘江、人群 | 激昂 | 近代 | 革命
湘水蓝 | 思想流动 | 湘江贯穿历史 | 湘江、桥梁 | 冷静 | 跨时代 | 思想
书卷白 | 求知初心 | 书院教育精神 | 书卷、学子 | 宁静 | 古代 | 学术
荣光金 | 成就发展 | 湖南大学现代化 | 校园、建筑 | 庄重 | 现代 | 发展
历史黑 | 厚重记忆 | 校史沉淀 | 碑刻、遗迹 | 压抑 | 跨时代 | 历史
晨曦橙 | 新生开始 | 新生入学 | 校门 | 温暖 | 现代 | 校园
夜读紫 | 沉思学习 | 夜晚学习 | 灯光 | 安静 | 现代 | 学术
烟雨灰 | 时间朦胧 | 湖南气候 | 湘江、天空 | 柔和 | 跨时代 | 记忆
墨韵蓝 | 理学思想 | 朱熹讲学 | 讲堂 | 深沉 | 古代 | 学术
青石灰 | 历史质感 | 石阶建筑 | 书院 | 厚重 | 古代 | 历史
霞光粉 | 情绪记忆 | 温暖时刻 | 人物 | 温柔 | 跨时代 | 情感
深林绿 | 思想深度 | 林间隐喻 | 树林 | 安静 | 古代 | 思想
铁锈红 | 时间侵蚀 | 建筑变化 | 遗迹 | 压抑 | 近代 | 历史
云雾白 | 模糊过渡 | 思想未明 | 天空 | 轻盈 | 跨时代 | 过渡
湖面蓝 | 自我映照 | 湘江水面 | 水面 | 平和 | 跨时代 | 思考
光影金 | 高光瞬间 | 历史时刻 | 人群 | 强烈 | 现代 | 记忆
暮色橙 | 回望过去 | 一天结束 | 校园 | 温暖 | 现代 | 回忆
石墨黑 | 思想凝固 | 理论沉淀 | 思想家 | 压抑 | 古代 | 学术
松柏绿 | 坚韧不朽 | 松柏精神 | 山林 | 稳重 | 古代 | 精神
烈日黄 | 行动现实 | 校园活力 | 学生 | 明亮 | 现代 | 校园
冷光蓝 | 科技理性 | 实验室氛围 | 研究者 | 冷静 | 现代 | 科技
灰白调 | 中性状态 | 过渡时期 | 空间 | 平和 | 跨时代 | 过渡
